"Country","Indicator","Measure","Inequality","Unit","PowerCode","Reference Period","Value","Flags"
"Portugal","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,1.5,
"Slovak Republic","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,3,
"Spain","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,1.8,
"Sweden","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2,
"Switzerland","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.3,
"Türkiye","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,1.5,
"United Kingdom","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,3.1,
"United States","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,3.1,
"Brazil","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.2,
"Chile","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,1.3,
"Estonia","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.7,
"Israel","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.5,
"Latvia","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.2,
"Slovenia","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.5,
"OECD - Total","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.1,
"Austria","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.8,
"Belgium","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.7,
"Canada","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.2,
"Czech Republic","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.5,
"Denmark","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.5,
"Finland","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.4,
"France","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.5,
"Germany","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.1,
"Greece","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.4,
"Hungary","Dwellings without basic facilities","Value","Total","Percentage","Units",,3.5,
"Iceland","Dwellings without basic facilities","Value","Total","Percentage","Units",,0,
"Ireland","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.2,
"Italy","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.6,
"Japan","Dwellings without basic facilities","Value","Total","Percentage","Units",,6.4,
"Korea","Dwellings without basic facilities","Value","Total","Percentage","Units",,2.5,
"Luxembourg","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.1,
"Mexico","Dwellings without basic facilities","Value","Total","Percentage","Units",,25.9,
"Netherlands","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.1,
"Norway","Dwellings without basic facilities","Value","Total","Percentage","Units",,0,
"Poland","Dwellings without basic facilities","Value","Total","Percentage","Units",,2.3,
"Portugal","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.9,
"Slovak Republic","Dwellings without basic facilities","Value","Total","Percentage","Units",,1.5,
"Spain","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.3,
"Sweden","Dwellings without basic facilities","Value","Total","Percentage","Units",,0,
"Switzerland","Dwellings without basic facilities","Value","Total","Percentage","Units",,0,
"Türkiye","Dwellings without basic facilities","Value","Total","Percentage","Units",,4.9,
"United Kingdom","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.5,
"United States","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.1,
"Brazil","Dwellings without basic facilities","Value","Total","Percentage","Units",,6.7,
"Chile","Dwellings without basic facilities","Value","Total","Percentage","Units",,9.4,
"Estonia","Dwellings without basic facilities","Value","Total","Percentage","Units",,5.7,
"Latvia","Dwellings without basic facilities","Value","Total","Percentage","Units",,11.2,
"Russia","Dwellings without basic facilities","Value","Total","Percentage","Units",,13.8,
"Slovenia","Dwellings without basic facilities","Value","Total","Percentage","Units",,0.2,
"South Africa","Dwellings without basic facilities","Value","Total","Percentage","Units",,35.9,
"OECD - Total","Dwellings without basic facilities","Value","Total","Percentage","Units",,3,
"Australia","Housing expenditure","Value","Total","Percentage","Units",,19.4,
"Austria","Housing expenditure","Value","Total","Percentage","Units",,20.8,
"Belgium","Housing expenditure","Value","Total","Percentage","Units",,20,
"Canada","Housing expenditure","Value","Total","Percentage","Units",,22.9,
"Czech Republic","Housing expenditure","Value","Total","Percentage","Units",,23.4,
"Denmark","Housing expenditure","Value","Total","Percentage","Units",,23.3,
"Finland","Housing expenditure","Value","Total","Percentage","Units",,23.1,
"France","Housing expenditure","Value","Total","Percentage","Units",,20.7,
"Germany","Housing expenditure","Value","Total","Percentage","Units",,20,
"Greece","Housing expenditure","Value","Total","Percentage","Units",,21.8,
"Hungary","Housing expenditure","Value","Total","Percentage","Units",,19.9,
"Ireland","Housing expenditure","Value","Total","Percentage","Units",,20.6,
"Italy","Housing expenditure","Value","Total","Percentage","Units",,22.5,
"Japan","Housing expenditure","Value","Total","Percentage","Units",,21.8,
"Korea","Housing expenditure","Value","Total","Percentage","Units",,14.7,
"Luxembourg","Housing expenditure","Value","Total","Percentage","Units",,20.7,
"Mexico","Housing expenditure","Value","Total","Percentage","Units",,17.8,
"Netherlands","Housing expenditure","Value","Total","Percentage","Units",,19.6,
"New Zealand","Housing expenditure","Value","Total","Percentage","Units",,25,
"Norway","Housing expenditure","Value","Total","Percentage","Units",,17.7,
"Poland","Housing expenditure","Value","Total","Percentage","Units",,21.2,
"Portugal","Housing expenditure","Value","Total","Percentage","Units",,19.6,
"Slovak Republic","Housing expenditure","Value","Total","Percentage","Units",,27.4,
"Spain","Housing expenditure","Value","Total","Percentage","Units",,21.7,
"Sweden","Housing expenditure","Value","Total","Percentage","Units",,20.1,
"Switzerland","Housing expenditure","Value","Total","Percentage","Units",,21.4,
"Türkiye","Housing expenditure","Value","Total","Percentage","Units",,18.9,
"United Kingdom","Housing expenditure","Value","Total","Percentage","Units",,23.2,
"United States","Housing expenditure","Value","Total","Percentage","Units",,18.3,
"Chile","Housing expenditure","Value","Total","Percentage","Units",,18.4,
"Estonia","Housing expenditure","Value","Total","Percentage","Units",,17,
"Latvia","Housing expenditure","Value","Total","Percentage","Units",,20.8,
"Russia","Housing expenditure","Value","Total","Percentage","Units",,17.4,
"Slovenia","Housing expenditure","Value","Total","Percentage","Units",,18.2,
"South Africa","Housing expenditure","Value","Total","Percentage","Units",,18.1,
"OECD - Total","Housing expenditure","Value","Total","Percentage","Units",,20.5,
"Australia","Feeling safe walking alone at night","Value","Total","Percentage","Units",,67,
"Austria","Feeling safe walking alone at night","Value","Total","Percentage","Units",,86,
"Belgium","Feeling safe walking alone at night","Value","Total","Percentage","Units",,56,
"Canada","Feeling safe walking alone at night","Value","Total","Percentage","Units",,78,
"Czech Republic","Feeling safe walking alone at night","Value","Total","Percentage","Units",,77,
"Denmark","Feeling safe walking alone at night","Value","Total","Percentage","Units",,85,
"Finland","Feeling safe walking alone at night","Value","Total","Percentage","Units",,88,
"France","Feeling safe walking alone at night","Value","Total","Percentage","Units",,74,
"Germany","Feeling safe walking alone at night","Value","Total","Percentage","Units",,76,
"Greece","Feeling safe walking alone at night","Value","Total","Percentage","Units",,69,
"Hungary","Feeling safe walking alone at night","Value","Total","Percentage","Units",,74,
"Iceland","Feeling safe walking alone at night","Value","Total","Percentage","Units",,85,
"Ireland","Feeling safe walking alone at night","Value","Total","Percentage","Units",,76,
"Italy","Feeling safe walking alone at night","Value","Total","Percentage","Units",,73,
"Japan","Feeling safe walking alone at night","Value","Total","Percentage","Units",,77,
"Korea","Feeling safe walking alone at night","Value","Total","Percentage","Units",,82,
"Luxembourg","Feeling safe walking alone at night","Value","Total","Percentage","Units",,87,
"Mexico","Feeling safe walking alone at night","Value","Total","Percentage","Units",,42,
"Netherlands","Feeling safe walking alone at night","Value","Total","Percentage","Units",,83,
"New Zealand","Feeling safe walking alone at night","Value","Total","Percentage","Units",,66,
"Norway","Feeling safe walking alone at night","Value","Total","Percentage","Units",,93,
"Poland","Feeling safe walking alone at night","Value","Total","Percentage","Units",,71,
"Portugal","Feeling safe walking alone at night","Value","Total","Percentage","Units",,83,
"Slovak Republic","Feeling safe walking alone at night","Value","Total","Percentage","Units",,76,
"Spain","Feeling safe walking alone at night","Value","Total","Percentage","Units",,80,
"Sweden","Feeling safe walking alone at night","Value","Total","Percentage","Units",,79,
"Switzerland","Feeling safe walking alone at night","Value","Total","Percentage","Units",,86,
"Türkiye","Feeling safe walking alone at night","Value","Total","Percentage","Units",,59,
"United Kingdom","Feeling safe walking alone at night","Value","Total","Percentage","Units",,78,
"United States","Feeling safe walking alone at night","Value","Total","Percentage","Units",,78,
"Brazil","Feeling safe walking alone at night","Value","Total","Percentage","Units",,45,
"Chile","Feeling safe walking alone at night","Value","Total","Percentage","Units",,41,
"Estonia","Feeling safe walking alone at night","Value","Total","Percentage","Units",,79,
"Israel","Feeling safe walking alone at night","Value","Total","Percentage","Units",,80,
"Latvia","Feeling safe walking alone at night","Value","Total","Percentage","Units",,72,
"Russia","Feeling safe walking alone at night","Value","Total","Percentage","Units",,64,
"Slovenia","Feeling safe walking alone at night","Value","Total","Percentage","Units",,91,
"South Africa","Feeling safe walking alone at night","Value","Total","Percentage","Units",,40,
"OECD - Total","Feeling safe walking alone at night","Value","Total","Percentage","Units",,74,
"Australia","Feeling safe walking alone at night","Value","Men","Percentage","Units",,81,
"Austria","Feeling safe walking alone at night","Value","Men","Percentage","Units",,89,
"Belgium","Feeling safe walking alone at night","Value","Men","Percentage","Units",,66,
"Canada","Feeling safe walking alone at night","Value","Men","Percentage","Units",,88,
"Czech Republic","Feeling safe walking alone at night","Value","Men","Percentage","Units",,88,
"Denmark","Feeling safe walking alone at night","Value","Men","Percentage","Units",,94,
"Finland","Feeling safe walking alone at night","Value","Men","Percentage","Units",,96,
"France","Feeling safe walking alone at night","Value","Men","Percentage","Units",,78,
"Germany","Feeling safe walking alone at night","Value","Men","Percentage","Units",,83,
"Greece","Feeling safe walking alone at night","Value","Men","Percentage","Units",,79,
"Hungary","Feeling safe walking alone at night","Value","Men","Percentage","Units",,83,
"Iceland","Feeling safe walking alone at night","Value","Men","Percentage","Units",,93,
"Ireland","Feeling safe walking alone at night","Value","Men","Percentage","Units",,86,
"Italy","Feeling safe walking alone at night","Value","Men","Percentage","Units",,79,
"Japan","Feeling safe walking alone at night","Value","Men","Percentage","Units",,85,
"Korea","Feeling safe walking alone at night","Value","Men","Percentage","Units",,87,
"Luxembourg","Feeling safe walking alone at night","Value","Men","Percentage","Units",,89,
"Mexico","Feeling safe walking alone at night","Value","Men","Percentage","Units",,54,
"Netherlands","Feeling safe walking alone at night","Value","Men","Percentage","Units",,95,
"New Zealand","Feeling safe walking alone at night","Value","Men","Percentage","Units",,80,
"Norway","Feeling safe walking alone at night","Value","Men","Percentage","Units",,98,
"Poland","Feeling safe walking alone at night","Value","Men","Percentage","Units",,80,
"Portugal","Feeling safe walking alone at night","Value","Men","Percentage","Units",,92,
"Slovak Republic","Feeling safe walking alone at night","Value","Men","Percentage","Units",,86,
"Spain","Feeling safe walking alone at night","Value","Men","Percentage","Units",,86,
"Sweden","Feeling safe walking alone at night","Value","Men","Percentage","Units",,90,
"Switzerland","Feeling safe walking alone at night","Value","Men","Percentage","Units",,91,
"Türkiye","Feeling safe walking alone at night","Value","Men","Percentage","Units",,72,
"United Kingdom","Feeling safe walking alone at night","Value","Men","Percentage","Units",,80,
"United States","Feeling safe walking alone at night","Value","Men","Percentage","Units",,88,
"Brazil","Feeling safe walking alone at night","Value","Men","Percentage","Units",,55,
"Chile","Feeling safe walking alone at night","Value","Men","Percentage","Units",,53,
"Estonia","Feeling safe walking alone at night","Value","Men","Percentage","Units",,90,
"Israel","Feeling safe walking alone at night","Value","Men","Percentage","Units",,83,
"Latvia","Feeling safe walking alone at night","Value","Men","Percentage","Units",,87,
"Russia","Feeling safe walking alone at night","Value","Men","Percentage","Units",,74,
"Slovenia","Feeling safe walking alone at night","Value","Men","Percentage","Units",,95,
"South Africa","Feeling safe walking alone at night","Value","Men","Percentage","Units",,46,
"OECD - Total","Feeling safe walking alone at night","Value","Men","Percentage","Units",,82,
"Australia","Feeling safe walking alone at night","Value","Women","Percentage","Units",,54,
"Austria","Feeling safe walking alone at night","Value","Women","Percentage","Units",,82,
"Belgium","Feeling safe walking alone at night","Value","Women","Percentage","Units",,47,
"Canada","Feeling safe walking alone at night","Value","Women","Percentage","Units",,67,
"Czech Republic","Feeling safe walking alone at night","Value","Women","Percentage","Units",,67,
"Denmark","Feeling safe walking alone at night","Value","Women","Percentage","Units",,77,
"Finland","Feeling safe walking alone at night","Value","Women","Percentage","Units",,80,
"France","Feeling safe walking alone at night","Value","Women","Percentage","Units",,70,
"Germany","Feeling safe walking alone at night","Value","Women","Percentage","Units",,69,
"Greece","Feeling safe walking alone at night","Value","Women","Percentage","Units",,59,
"Hungary","Feeling safe walking alone at night","Value","Women","Percentage","Units",,65,
"Iceland","Feeling safe walking alone at night","Value","Women","Percentage","Units",,78,
"Ireland","Feeling safe walking alone at night","Value","Women","Percentage","Units",,67,
"Italy","Feeling safe walking alone at night","Value","Women","Percentage","Units",,67,
"Japan","Feeling safe walking alone at night","Value","Women","Percentage","Units",,69,
"Korea","Feeling safe walking alone at night","Value","Women","Percentage","Units",,77,
"Luxembourg","Feeling safe walking alone at night","Value","Women","Percentage","Units",,84,
"Mexico","Feeling safe walking alone at night","Value","Women","Percentage","Units",,32,
"Netherlands","Feeling safe walking alone at night","Value","Women","Percentage","Units",,72,
"New Zealand","Feeling safe walking alone at night","Value","Women","Percentage","Units",,53,
"Norway","Feeling safe walking alone at night","Value","Women","Percentage","Units",,89,
"Poland","Feeling safe walking alone at night","Value","Women","Percentage","Units",,63,
"Portugal","Feeling safe walking alone at night","Value","Women","Percentage","Units",,75,
"Slovak Republic","Feeling safe walking alone at night","Value","Women","Percentage","Units",,67,
"Spain","Feeling safe walking alone at night","Value","Women","Percentage","Units",,75,
"Sweden","Feeling safe walking alone at night","Value","Women","Percentage","Units",,68,
"Switzerland","Feeling safe walking alone at night","Value","Women","Percentage","Units",,81,
"Türkiye","Feeling safe walking alone at night","Value","Women","Percentage","Units",,45,
"United Kingdom","Feeling safe walking alone at night","Value","Women","Percentage","Units",,77,
"United States","Feeling safe walking alone at night","Value","Women","Percentage","Units",,69,
"Brazil","Feeling safe walking alone at night","Value","Women","Percentage","Units",,34,
"Chile","Feeling safe walking alone at night","Value","Women","Percentage","Units",,30,
"Estonia","Feeling safe walking alone at night","Value","Women","Percentage","Units",,71,
"Israel","Feeling safe walking alone at night","Value","Women","Percentage","Units",,77,
"Latvia","Feeling safe walking alone at night","Value","Women","Percentage","Units",,61,
"Russia","Feeling safe walking alone at night","Value","Women","Percentage","Units",,55,
"Slovenia","Feeling safe walking alone at night","Value","Women","Percentage","Units",,85,
"South Africa","Feeling safe walking alone at night","Value","Women","Percentage","Units",,35,
"OECD - Total","Feeling safe walking alone at night","Value","Women","Percentage","Units",,66,
"Austria","Rooms per person","Value","Total","Ratio","Units",,1.6,
"Belgium","Rooms per person","Value","Total","Ratio","Units",,2.1,
"Canada","Rooms per person","Value","Total","Ratio","Units",,2.6,
"Czech Republic","Rooms per person","Value","Total","Ratio","Units",,1.5,
"Denmark","Rooms per person","Value","Total","Ratio","Units",,1.9,
"Finland","Rooms per person","Value","Total","Ratio","Units",,1.9,
"France","Rooms per person","Value","Total","Ratio","Units",,1.8,
"Germany","Rooms per person","Value","Total","Ratio","Units",,1.8,
"Greece","Rooms per person","Value","Total","Ratio","Units",,1.2,
"Hungary","Rooms per person","Value","Total","Ratio","Units",,1.4,
"Iceland","Rooms per person","Value","Total","Ratio","Units",,1.6,
"Ireland","Rooms per person","Value","Total","Ratio","Units",,2.1,
"Italy","Rooms per person","Value","Total","Ratio","Units",,1.4,
"Japan","Rooms per person","Value","Total","Ratio","Units",,1.9,
"Korea","Rooms per person","Value","Total","Ratio","Units",,1.5,
"Luxembourg","Rooms per person","Value","Total","Ratio","Units",,2,
"Mexico","Rooms per person","Value","Total","Ratio","Units",,1.1,
"Netherlands","Rooms per person","Value","Total","Ratio","Units",,2,
"New Zealand","Rooms per person","Value","Total","Ratio","Units",,2.4,
"Norway","Rooms per person","Value","Total","Ratio","Units",,2.1,
"Poland","Rooms per person","Value","Total","Ratio","Units",,1.1,
"Portugal","Rooms per person","Value","Total","Ratio","Units",,1.7,
"Slovak Republic","Rooms per person","Value","Total","Ratio","Units",,1.1,
"Spain","Rooms per person","Value","Total","Ratio","Units",,1.9,
"Sweden","Rooms per person","Value","Total","Ratio","Units",,1.7,
"Switzerland","Rooms per person","Value","Total","Ratio","Units",,1.9,
"Türkiye","Rooms per person","Value","Total","Ratio","Units",,1,
"United Kingdom","Rooms per person","Value","Total","Ratio","Units",,2,
"United States","Rooms per person","Value","Total","Ratio","Units",,2.4,
"Chile","Rooms per person","Value","Total","Ratio","Units",,1.9,
"Estonia","Rooms per person","Value","Total","Ratio","Units",,1.7,
"Israel","Rooms per person","Value","Total","Ratio","Units",,1.2,
"Latvia","Rooms per person","Value","Total","Ratio","Units",,1.2,
"Russia","Rooms per person","Value","Total","Ratio","Units",,1,
"Slovenia","Rooms per person","Value","Total","Ratio","Units",,1.6,
"OECD - Total","Rooms per person","Value","Total","Ratio","Units",,1.7,
"Australia","Household net adjusted disposable income","Value","Total","US Dollar","Units",,37433,
"Austria","Household net adjusted disposable income","Value","Total","US Dollar","Units",,37001,
"Belgium","Household net adjusted disposable income","Value","Total","US Dollar","Units",,34884,
"Canada","Household net adjusted disposable income","Value","Total","US Dollar","Units",,34421,
"Czech Republic","Household net adjusted disposable income","Value","Total","US Dollar","Units",,26664,
"Denmark","Household net adjusted disposable income","Value","Total","US Dollar","Units",,33774,
"Finland","Household net adjusted disposable income","Value","Total","US Dollar","Units",,33471,
"France","Household net adjusted disposable income","Value","Total","US Dollar","Units",,34375,
"Germany","Household net adjusted disposable income","Value","Total","US Dollar","Units",,38971,
"Greece","Household net adjusted disposable income","Value","Total","US Dollar","Units",,20791,
"Hungary","Household net adjusted disposable income","Value","Total","US Dollar","Units",,21026,
"Ireland","Household net adjusted disposable income","Value","Total","US Dollar","Units",,29488,
"Italy","Household net adjusted disposable income","Value","Total","US Dollar","Units",,29431,
"Japan","Household net adjusted disposable income","Value","Total","US Dollar","Units",,28872,
"Korea","Household net adjusted disposable income","Value","Total","US Dollar","Units",,24590,
"Luxembourg","Household net adjusted disposable income","Value","Total","US Dollar","Units",,44773,
"Mexico","Household net adjusted disposable income","Value","Total","US Dollar","Units",,16269,
"Netherlands","Household net adjusted disposable income","Value","Total","US Dollar","Units",,34984,
"New Zealand","Household net adjusted disposable income","Value","Total","US Dollar","Units",,39024,
"Norway","Household net adjusted disposable income","Value","Total","US Dollar","Units",,39144,
"Poland","Household net adjusted disposable income","Value","Total","US Dollar","Units",,23675,
"Portugal","Household net adjusted disposable income","Value","Total","US Dollar","Units",,24877,
"Slovak Republic","Household net adjusted disposable income","Value","Total","US Dollar","Units",,21149,
"Spain","Household net adjusted disposable income","Value","Total","US Dollar","Units",,27155,
"Sweden","Household net adjusted disposable income","Value","Total","US Dollar","Units",,33730,
"Switzerland","Household net adjusted disposable income","Value","Total","US Dollar","Units",,39697,
"United Kingdom","Household net adjusted disposable income","Value","Total","US Dollar","Units",,33049,
"United States","Household net adjusted disposable income","Value","Total","US Dollar","Units",,51147,
"Estonia","Household net adjusted disposable income","Value","Total","US Dollar","Units",,23784,
"Latvia","Household net adjusted disposable income","Value","Total","US Dollar","Units",,19783,
"Russia","Household net adjusted disposable income","Value","Total","US Dollar","Units",,19546,
"Slovenia","Household net adjusted disposable income","Value","Total","US Dollar","Units",,25250,
"South Africa","Household net adjusted disposable income","Value","Total","US Dollar","Units",,9338,
"OECD - Total","Household net adjusted disposable income","Value","Total","US Dollar","Units",,30490,
"Australia","Household net wealth","Value","Total","US Dollar","Units",,528768,
"Austria","Household net wealth","Value","Total","US Dollar","Units",,309637,
"Belgium","Household net wealth","Value","Total","US Dollar","Units",,447607,
"Canada","Household net wealth","Value","Total","US Dollar","Units",,478240,
"Denmark","Household net wealth","Value","Total","US Dollar","Units",,149864,
"Finland","Household net wealth","Value","Total","US Dollar","Units",,230032,
"France","Household net wealth","Value","Total","US Dollar","Units",,298639,
"Germany","Household net wealth","Value","Total","US Dollar","Units",,304317,
"Greece","Household net wealth","Value","Total","US Dollar","Units",,148323,
"Hungary","Household net wealth","Value","Total","US Dollar","Units",,150296,
"Ireland","Household net wealth","Value","Total","US Dollar","Units",,370341,
"Italy","Household net wealth","Value","Total","US Dollar","Units",,295020,
"Japan","Household net wealth","Value","Total","US Dollar","Units",,294735,
"Korea","Household net wealth","Value","Total","US Dollar","Units",,362340,
"Luxembourg","Household net wealth","Value","Total","US Dollar","Units",,941162,
"Netherlands","Household net wealth","Value","Total","US Dollar","Units",,248599,
"New Zealand","Household net wealth","Value","Total","US Dollar","Units",,514162,
"Norway","Household net wealth","Value","Total","US Dollar","Units",,268358,
"Poland","Household net wealth","Value","Total","US Dollar","Units",,233221,
"Portugal","Household net wealth","Value","Total","US Dollar","Units",,255303,
"Slovak Republic","Household net wealth","Value","Total","US Dollar","Units",,171425,
"Spain","Household net wealth","Value","Total","US Dollar","Units",,366534,
"United Kingdom","Household net wealth","Value","Total","US Dollar","Units",,524422,
"United States","Household net wealth","Value","Total","US Dollar","Units",,684500,
"Chile","Household net wealth","Value","Total","US Dollar","Units",,135787,
"Estonia","Household net wealth","Value","Total","US Dollar","Units",,188627,
"Latvia","Household net wealth","Value","Total","US Dollar","Units",,79245,
"Slovenia","Household net wealth","Value","Total","US Dollar","Units",,233286,
"OECD - Total","Household net wealth","Value","Total","US Dollar","Units",,323960,
"Australia","Employment rate","Value","Total","Percentage","Units",,73,
"Austria","Employment rate","Value","Total","Percentage","Units",,72,
"Belgium","Employment rate","Value","Total","Percentage","Units",,65,
"Canada","Employment rate","Value","Total","Percentage","Units",,70,
"Czech Republic","Employment rate","Value","Total","Percentage","Units",,74,
"Denmark","Employment rate","Value","Total","Percentage","Units",,74,
"Finland","Employment rate","Value","Total","Percentage","Units",,72,
"France","Employment rate","Value","Total","Percentage","Units",,65,
"Germany","Employment rate","Value","Total","Percentage","Units",,77,
"Greece","Employment rate","Value","Total","Percentage","Units",,56,
"Hungary","Employment rate","Value","Total","Percentage","Units",,70,
"Iceland","Employment rate","Value","Total","Percentage","Units",,78,
"Ireland","Employment rate","Value","Total","Percentage","Units",,68,
"Italy","Employment rate","Value","Total","Percentage","Units",,58,
"Japan","Employment rate","Value","Total","Percentage","Units",,77,
"Korea","Employment rate","Value","Total","Percentage","Units",,66,
"Luxembourg","Employment rate","Value","Total","Percentage","Units",,67,
"Mexico","Employment rate","Value","Total","Percentage","Units",,59,
"Netherlands","Employment rate","Value","Total","Percentage","Units",,78,
"New Zealand","Employment rate","Value","Total","Percentage","Units",,77,
"Norway","Employment rate","Value","Total","Percentage","Units",,75,
"Poland","Employment rate","Value","Total","Percentage","Units",,69,
"Portugal","Employment rate","Value","Total","Percentage","Units",,69,
"Slovak Republic","Employment rate","Value","Total","Percentage","Units",,68,
"Spain","Employment rate","Value","Total","Percentage","Units",,62,
"Sweden","Employment rate","Value","Total","Percentage","Units",,75,
"Switzerland","Employment rate","Value","Total","Percentage","Units",,80,
"Türkiye","Employment rate","Value","Total","Percentage","Units",,48,
"United Kingdom","Employment rate","Value","Total","Percentage","Units",,75,
"United States","Employment rate","Value","Total","Percentage","Units",,67,
